44,6089827,1
24,19920954,1
43,18916524,0
60,17686528,1
34,17421279,0
54,17775195,0
39,3007140,1
49,10884915,1
46,16906403,1
25,15208583,0
20,18375111,0
60,10946098,0
48,9740379,0
24,3592204,0
21,18532631,1
22,8981963,1
21,14610319,0
24,19084600,0
57,13693659,1
50,16005455,0
54,5365615,0
50,4256918,0
43,10482135,0
45,15714301,0
45,5660051,0
63,5758711,0
65,17866681,0
55,10971244,1
61,13810769,1
42,11925715,0
39,17021169,1
63,9315700,0
37,11530476,0
52,3818065,1
33,15818903,1
64,6515956,0
59,17362191,0
53,19720109,0
28,17581380,1
28,4659231,1
40,13940561,0
62,13125016,0
63,3972146,1
52,5919467,1
36,13210102,0
64,8292657,0
64,12432663,0
54,12174330,1
26,11120085,1
44,17400673,0
55,5790069,0
30,8749419,0
51,16728905,1
45,18670989,1
43,4392553,1
65,3981989,1
24,13629069,0
63,13228705,1
24,12311968,1
48,7792650,1
46,10614394,1
43,9460911,1
19,14269681,1
44,6014721,0
64,16697257,1
65,5139271,1
61,12791203,0
64,16820341,1
60,5417968,0
35,14324230,1
55,16812701,0
19,5983037,0
43,10839909,0
59,19169609,1
48,15926449,0
54,4978362,0
44,18930402,1
52,12050145,0
52,6338634,0
65,7480933,0
46,3803107,1
28,5795285,1
60,7691898,1
58,15316993,1
47,9280369,1
50,8674544,1
31,5206775,1
46,9416981,0
54,11142570,1
60,9731417,0
51,5836885,1
52,3305629,1
30,6388803,0
18,17562930,0
23,5045379,1
27,11164763,0
28,13754399,0
53,15638662,0
33,17849053,1
32,16533798,1
